Estacion,Intervalo,Muestra_ID,Litologia,Horizonte,Alteracion,Observaciones,Sector
Qui-CA-107,(0 - 1) m,1140115,Granito + Qz ± bt,LP-US,+Caol / -OxFe,"Sup (0-1): LP-US, +Caol / -OxFe. (Gro)",Este
Qui-CA-107,(1 - 2) m,1140116,Granito + Qz ± bt,UP,-Caol = OxFe,"Inf (1-2): UP, -Caol = OxFe. (Gro)",Este
Qui-CA-108,(0 - 1) m,1140117,Granito + Qz ± bt,UP/LP,+Caol + OxFe,"Muestra 117: UP/LP, +Caol + OxFe. (Gro)",Este
Qui-CA-108,(0 - 1) m,1140118,Granito + Qz ± bt,LP,± Caol + OxFe,"Muestra 118: LP, ± Caol + OxFe. (Gro)",Este
Qui-CA-109,(0 - 1) m,1140119,Granito + Qz ± bt,LP/US,± Caol + OxFe,"Muestra LP/US, ± Caol + OxFe. (Gro)",Este
Qui-CA-110,(0 - 1) m,1140120,Granito + Qz + bt,LP/US,+Caol ± OxFe,"Nivel (0-1): LP/US, +Caol ± OxFe. (Gro)",Este
Qui-CA-110,(1 - 2) m,1140121,Granito + Qz + bt,US/LP,+Caol ± OxFe,"Nivel (1-2): US/LP, +Caol ± OxFe. (Gro)",Este
Zona Muestreo 1,-,GPS,Control de inicio de zona,-,-,Punto de referencia georreferenciado en Qui-CA.,Este
Qui-CA-111,(0 - 1) Norte,1140122,Granito + Qz - bt,LP,+Caol - OxFe,"Norte: LP, +Caol - OxFe. (Gro)",Este
Qui-CA-111,(0 - 1) Sur,1140123,Granito + Qz - bt,LP,± Caol - OxFe,"Sur: LP, ± Caol - OxFe. (Gro)",Este
Zona Muestreo 2,Punto 372,GPS,Pegmatita (Qz + Msc),-,-,Control estructural y mineralógico singular del sector.,Este
Qui-CA-112,Pared Este (0-1),1140124,Granito con stockwork de Qz + Msc. ± bt en granito,LP,± Caol ± OxFe,Pared Este: LP con ± Caol ± OxFe.,Este
Qui-CA-112,Pared Este (0-2),1140125,Granito con stockwork de Qz + Msc. ± bt en granito,LP,± Caol ± OxFe,Pared Este: LP con ± Caol ± OxFe.,Este
Qui-CA-112,Pared Oeste (0-1),1140126,Pegmatitas (Qz + Msc) (LP),LP,± Caol ± OxFe,"Pared Oeste: Cambia lateralmente a Pegmatitas (Qz + Msc) (LP), ± Caol ± OxFe.",Oeste
Qui-CA-113,(0 - 1) m,1140127,Granito + Qz + bt + Msc,LP,-Caol ± OxFe,"Muestra 127: LP, -Caol ± OxFe. (Gro)",Este
Qui-CA-113,(1 - 2) m,1140128,Granito + Qz + bt + Msc,UP,-Caol ± OxFe,"Muestra 128: UP, -Caol ± OxFe. (Gro)",Este
Qui-CA-114,(0 - 1) Norte,1140129,Granito (Qz + bt),UP,± Caol ± OxFe,"Norte: UP, ± Caol ± OxFe. (Gro)",Este
Qui-CA-114,(0 - 0.3) Sur,1140130,Granito (Qz + bt),UP,-Caol ± OxFe,"Sur: UP, -Caol ± OxFe. (Gro)",Este
