Campana,N,Y_med,Y_mean,Ce_med,Th_med,Lit_dom,UTM_E_mean,UTM_N_mean
CELCBS,28,83.3,105.3,372.0,64.0,Granito de Granate,681582,5931464
MAD,96,61.2,88.4,150.0,37.4,Granito de Granate,682149,5932613
MADBS,139,32.5,54.8,155.0,32.3,Tonalita,682496,5932654
CURM,54,29.4,49.1,20.0,5.9,Granito de Biotita,677458,5878284
SAGG,11,29.2,37.5,83.0,18.5,Granito de Biotita,694659,5935451
MS,18,28.5,85.3,192.6,12.3,Granito de Granate,646758,5605678
JCBS,28,26.7,25.1,74.6,0.5,Granito de Biotita,690711,5937671
RLRM,52,25.0,40.7,20.0,6.5,Granito de Biotita,677442,5880332
TSAE,25,24.5,26.7,50.0,10.7,Granodiorita,689366,5942951
PIMAP,10,24.2,26.9,75.5,24.0,Granito de Biotita,677993,5929565
SAAE,34,23.2,26.7,54.0,15.6,Granito de Biotita,694347,5935020
EEAE,27,22.5,22.4,20.0,13.1,Granito de Biotita,691102,5935386
PARM,90,22.2,31.2,107.9,8.9,Granito de Biotita Mafico,675519,5876528
CLBS,12,22.1,25.2,0.5,19.4,Granito de Biotita,679021,5929731
BEPR,105,21.6,42.6,168.1,14.1,Metapelita,682837,5929264
LIAE,57,21.5,22.0,57.0,17.0,Granito de Biotita,686449,5937309
QUPR,45,20.5,25.1,125.4,9.9,Tonalita de biotita,722454,5997049
CHAPR,24,20.0,21.7,77.0,15.7,Granito de Biotita Fino,729689,6037028
RIAE,24,20.0,20.3,51.5,16.8,Granito de Biotita,695724,5938354
CARM,61,18.7,26.8,122.8,7.6,Granito de Biotita Mafico,674768,5864186
LPPR,73,18.6,26.3,125.4,12.3,Granito de biotita,687150,5929460
BNGG,74,18.2,21.3,97.6,10.2,Granito de Biotita,690936,5942080
COPR,90,17.6,22.4,114.9,11.3,Diorita Fina,705921,6006711
PIMBS,49,17.4,20.0,70.0,20.3,Granito de Biotita,677813,5929242
TOGG,103,17.3,19.5,114.3,8.7,Granito de Biotita,692165,5947775
COGG,84,17.1,20.3,115.1,9.8,Granito de Biotita,699040,5961634
TRGG,21,17.1,25.0,128.5,8.7,Granito de Biotita,700250,5967379
PEPR,97,16.3,24.3,94.2,9.9,Granito Rosado,707900,6017905
CMPR,85,16.2,16.8,111.5,10.4,Granito de Biotita,682952,5911338
DIGG,56,16.2,22.2,114.0,10.7,Granito de Biotita,692505,5955151
POPR,40,15.2,18.4,123.4,10.0,Granito de biotita,694398,5928724
TAPR,108,15.2,16.5,102.5,10.8,Metapelita,705934,5988014
QQRM,31,15.2,14.2,124.8,9.7,Granito de Biotita Siliceo,670818,5864891
PBPR,100,15.0,19.0,102.8,10.3,Granito de Biotita,683719,5918891
PIPR,46,14.6,17.4,73.1,11.5,Granito de Biotita,690579,5911188
CAPR,76,14.3,16.8,117.8,10.6,Tonalita de biotita,731178,6019268
SJGG,383,14.3,19.7,107.7,0.5,Granito de Biotita,675378,5872467
SJCGG,26,13.3,14.4,112.0,9.2,Esquisto de Biotita,677758,5888166
TRPR,29,13.2,14.8,96.2,8.7,SIN_ASIGNAR,705419,5980129
CCPR,38,12.8,15.0,123.2,10.5,Granito de Biotita,687322,5923729
FLPR,29,12.7,13.4,135.7,12.5,Granito de Biotita,703011,5925789
CHPR,84,12.1,15.5,93.6,10.3,Granito de Biotita,691224,5918362
AMRM,50,11.2,20.1,63.2,7.2,Granito de Biotita Siliceo,677252,5875150
PGRM,36,10.4,13.2,107.6,0.5,Granito de Biotita Siliceo,674730,5867602
