Litologia,N,Y_ppm_mean,Y_ppm_med,Y_ppm_std,Y_ppm_cv,Ce_ppm_mean,Ce_ppm_med,Ce_ppm_std,Ce_ppm_cv,La_ppm_mean,La_ppm_med,La_ppm_std,La_ppm_cv,Pr_ppm_mean,Pr_ppm_med,Pr_ppm_std,Pr_ppm_cv,Nd_ppm_mean,Nd_ppm_med,Nd_ppm_std,Nd_ppm_cv,Th_ppm_mean,Th_ppm_med,Th_ppm_std,Th_ppm_cv
Granito de Biotita,901,22.4,17.36,20.01,89.3,88.47,87.0,57.32,64.8,55.56,44.0,49.03,88.2,96.31,95.49,69.85,72.5,168.33,159.0,121.26,72.0,10.28,9.25,10.21,99.4
Metapelita,201,21.15,18.22,14.73,69.6,157.39,127.39,101.52,64.5,115.2,94.25,92.43,80.2,202.57,188.0,119.97,59.2,341.92,309.92,203.12,59.4,16.05,15.31,11.19,69.7
Granito de biotita,188,19.97,15.0,18.3,91.6,101.9,97.78,56.19,55.1,70.39,69.93,50.1,71.2,106.64,96.01,80.2,75.2,173.88,154.38,125.36,72.1,12.74,11.58,12.86,101.0
Granito de Biotita Mafico,128,30.84,18.6,38.1,123.5,102.82,106.6,66.39,64.6,73.68,80.42,46.54,63.2,117.22,121.2,56.27,48.0,210.44,211.16,85.18,40.5,5.96,2.75,7.22,121.2
Granito de Biotita Siliceo,100,17.41,11.78,20.17,115.9,122.06,112.68,71.35,58.5,79.63,78.04,59.8,75.1,121.35,114.74,67.43,55.6,210.6,195.84,116.64,55.4,10.97,8.84,14.6,133.1
Granito de Granate,92,128.99,105.1,82.21,63.7,463.05,462.0,180.57,39.0,226.3,216.0,97.87,43.2,146.42,134.5,84.1,57.4,356.58,360.0,142.69,40.0,94.29,90.0,40.99,43.5
Tonalita de biotita,84,19.63,19.12,10.18,51.9,107.5,108.57,55.61,51.7,82.02,87.07,44.99,54.9,130.73,130.76,70.91,54.2,202.15,198.2,113.38,56.1,9.49,9.93,9.45,99.6
Tonalita,75,53.21,26.9,68.71,129.1,91.89,48.0,140.37,152.8,44.49,0.5,69.63,156.5,78.22,68.0,68.66,87.8,189.23,182.0,157.2,83.1,23.5,13.3,28.56,121.5
Esquisto de Biotita,69,16.86,15.02,8.98,53.3,124.59,111.8,68.1,54.7,80.11,72.1,66.2,82.6,148.95,146.04,93.31,62.6,262.81,251.63,159.31,60.6,13.59,13.9,6.41,47.2
Roca Micacea,64,37.6,30.1,27.93,74.3,125.02,119.5,107.29,85.8,51.95,57.0,57.32,110.3,110.0,107.56,75.17,68.3,250.62,251.0,168.11,67.1,27.33,22.8,20.9,76.5
Tonalita de Anfibol y Biotita,52,18.19,13.03,14.01,77.0,135.58,117.81,65.25,48.1,109.36,101.86,58.37,53.4,186.45,165.08,106.37,57.0,293.77,251.84,175.9,59.9,5.97,0.5,6.29,105.4
Microdiorita,50,22.5,16.8,15.83,70.4,129.71,106.48,91.47,70.5,94.17,77.56,84.1,89.3,162.68,134.82,124.77,76.7,268.96,215.59,206.12,76.6,7.68,7.94,8.24,107.2
Diorita,50,38.87,21.83,56.86,146.3,169.75,168.73,79.0,46.5,138.05,137.0,82.5,59.8,215.92,192.66,116.45,53.9,348.02,318.3,187.26,53.8,8.71,4.5,11.42,131.1
Migmatita,44,19.46,19.08,11.68,60.0,133.33,130.5,60.06,45.0,89.39,89.86,51.03,57.1,146.0,144.64,73.94,50.6,247.99,228.08,134.8,54.4,15.68,16.18,8.65,55.2
Granodiorita,40,28.48,23.94,25.77,90.5,95.79,65.5,86.88,90.7,52.5,12.75,80.02,152.4,116.41,92.5,129.89,111.6,226.53,221.0,210.61,93.0,12.68,12.25,9.16,72.3
SIN_ASIGNAR,36,41.93,22.73,54.24,129.3,126.64,68.4,191.37,151.1,69.54,25.0,91.39,131.4,112.64,103.02,92.41,82.0,212.64,146.0,175.14,82.4,24.37,11.0,42.69,175.2
Granito Rosado,34,27.24,18.6,34.29,125.9,82.85,65.31,64.4,77.7,56.65,25.0,45.62,80.5,85.2,68.66,65.75,77.2,132.15,67.64,114.88,86.9,11.13,12.08,5.31,47.7
Metapsamita,31,14.79,15.16,5.33,36.0,111.88,96.17,78.0,69.7,81.15,69.66,64.52,79.5,140.17,103.82,102.08,72.8,214.88,161.4,169.59,78.9,10.58,11.95,6.46,61.1
