Variable,N,Min,Max,Media,Mediana,Std,CV%,Skewness,Kurtosis,P5,P25,P75,P95,Log_Media,Log_Std
Y_ppm,2839,0.5,391.0,28.154,18.25,37.383,132.8,4.395,24.673,4.05,10.95,28.6,88.843,1.259,0.393
Ce_ppm,2839,0.5,1309.12,125.159,101.93,113.604,90.8,2.913,14.206,0.5,63.48,152.145,337.92,1.871,0.628
La_ppm,2839,0.5,747.91,82.177,71.05,75.746,92.2,1.809,6.428,0.5,25.0,114.96,229.15,1.6,0.735
Pr_ppm,2839,0.5,1279.89,129.133,112.0,99.305,76.9,1.83,8.735,0.5,66.28,167.995,319.586,1.891,0.639
Nd_ppm,2839,0.5,1860.72,224.521,193.0,165.84,73.9,1.464,4.959,35.0,118.21,297.0,542.289,2.138,0.642
Th_ppm,2839,0.5,365.0,15.279,10.8,23.392,153.1,4.725,34.048,0.5,0.5,16.9,51.65,0.777,0.71
Fe__,2839,0.0,14.82,4.667,4.462,2.185,46.8,0.844,1.697,1.346,3.318,5.746,8.614,0.615,0.243
Ti__,2839,0.0,3.532,0.323,0.29,0.247,76.3,3.156,26.126,0.0,0.199,0.425,0.696,-0.784,0.886
K__,2839,0.0,4.99,0.916,0.806,0.575,62.8,1.542,4.684,0.199,0.513,1.204,1.979,-0.131,0.331
Mn_,2839,0.0,0.996,0.036,0.003,0.088,247.9,5.026,34.072,0.003,0.003,0.029,0.188,-2.109,0.666
Ca_ppm,2839,0.0,58200.44,2582.647,1656.71,4341.318,168.1,4.247,29.671,1.0,25.0,2653.685,10899.101,2.56,1.289
V_ppm,2839,0.0,1621.47,35.386,5.0,78.701,222.4,9.069,134.092,2.0,5.0,59.0,137.0,1.024,0.617
Cr_ppm,2839,1.0,1250.44,43.454,10.0,99.644,229.3,5.155,35.711,2.0,10.0,29.0,229.3,1.203,0.532
Cl_ppm,2839,0.0,7299.46,478.517,474.78,461.916,96.5,4.116,40.113,1.0,136.945,642.85,1070.787,2.191,1.041
