Litologia,N,Y_media,Y_mediana,Y_std,Y_max,Y_P95,Pct_sobre_50,Pct_sobre_100
Diorita con Granate,5,225.72200000000004,109.87,241.72350706954424,601.88,546.7439999999999,80.0,60.0
Granito de Granate,92,128.98945652173913,105.1,82.2138702685657,391.0,263.5,85.86956521739131,54.347826086956516
Halo Tonalitico,18,67.3,54.45,42.610865778025925,184.0,146.76999999999992,66.66666666666666,16.666666666666664
Granito de Biotita Oxidado,29,56.57344827586207,32.81,43.688312532878214,150.0,143.55999999999997,41.37931034482759,17.24137931034483
Tonalita,75,53.211200000000005,26.9,68.71333534290085,294.0,244.0999999999999,26.666666666666668,10.666666666666668
Tonalita de Biotita,23,53.151739130434784,17.1,95.89508294590281,364.0,302.77999999999975,13.043478260869565,13.043478260869565
Diorita Cuarcifera de Biotita,13,50.24076923076923,25.27,57.12025581489437,202.83,160.9499999999999,23.076923076923077,15.384615384615385
Xenolito Tonalitico,8,47.612500000000004,40.35,38.741651174340596,128.9,108.00499999999997,37.5,12.5
SIN_ASIGNAR,50,40.9116,26.6,47.38658009286974,272.0,91.83999999999997,26.0,4.0
Roca Micacea,66,37.403636363636366,30.1,27.582001524760457,204.0,80.45,16.666666666666664,3.0303030303030303
Diorita,68,37.031176470588235,26.075,49.27115945275836,281.55,92.62299999999998,13.23529411764706,4.411764705882353
Dique Tonalitico,9,35.38444444444445,25.09,28.693913601629486,105.6,84.44799999999998,22.22222222222222,11.11111111111111
Dique Granitico,11,35.3109090909091,11.43,77.36300904884007,267.73,144.125,9.090909090909092,9.090909090909092
Granito de Biotita Mafico,129,34.230542635658914,18.6,54.050036588072686,468.0,120.64799999999994,14.728682170542637,6.976744186046512
Granito,204,32.7203431372549,30.85,14.299495956527307,87.0,58.7,13.23529411764706,0.0
Granodiorita,45,30.259777777777778,25.4,24.984530622047725,104.1,83.9,15.555555555555555,4.444444444444445
Zona de Falla,10,28.353999999999996,26.405,14.173142990255274,65.0,51.319999999999965,10.0,0.0
Dique Andesita,23,27.782173913043483,22.98,19.793713638545526,100.24,56.516999999999996,13.043478260869565,4.3478260869565215
Granito Rosado,34,27.24294117647059,18.604999999999997,34.29422042740887,185.61,72.7939999999999,11.76470588235294,5.88235294117647
Diorita Fina,24,25.29125,18.92,19.36196682259141,84.15,54.34149999999999,12.5,0.0
Diorita de Anfibol y biotita,29,25.034827586206895,16.83,33.1421008279596,157.97,83.5579999999999,10.344827586206897,6.896551724137931
Suelo,13,22.815384615384616,22.1,9.834873847169755,39.7,39.58,0.0,0.0
Granito de Biotita,960,22.749072916666666,17.689999999999998,20.158287952479345,203.17,56.33999999999996,6.666666666666667,1.875
Microdiorita,52,22.157884615384617,16.799999999999997,15.677165527186904,75.63,51.124999999999986,7.6923076923076925,0.0
Lutita,8,21.5825,17.435,10.390320701774044,40.3,38.032,0.0,0.0
Metapelita,208,21.237499999999997,18.3,14.599013748039932,127.7,38.17199999999996,3.3653846153846154,0.9615384615384616
Enclave máfico,6,20.855,17.490000000000002,14.250603846855052,48.25,41.0775,0.0,0.0
Granito de Biotita Fino,25,20.695999999999998,20.02,6.112472903825424,39.28,31.967999999999982,0.0,0.0
Granito de biotita,188,19.96941489361702,15.004999999999999,18.29503620994502,152.8,46.691500000000026,4.787234042553192,1.0638297872340425
Tonalita de biotita,84,19.631309523809527,19.115000000000002,10.179401807378111,73.3,31.760499999999997,2.380952380952381,0.0
Migmatita,44,19.45931818181818,19.085,11.678127119221,57.7,41.990000000000016,4.545454545454546,0.0
Dique Microdiorita,11,19.232727272727274,19.54,8.423595539802573,34.15,31.02,0.0,0.0
Metapelita/Hornfels,5,18.878,18.25,7.760796995154558,30.26,28.526,0.0,0.0
Metapelita Recristalizada,19,18.77631578947368,17.2,10.385198447002626,47.49,29.91299999999996,0.0,0.0
Pegmatita,12,18.349999999999998,10.850000000000001,20.45045053960248,71.85,52.49549999999997,8.333333333333332,0.0
Pizarra,5,18.322,20.22,5.435445703895864,22.51,22.086000000000002,0.0,0.0
Tonalita de Anfibol y Biotita,52,18.194230769230767,13.030000000000001,14.005157921861842,64.63,43.19899999999999,3.8461538461538463,0.0
Indeterminado,5,17.524,13.42,10.28672834286976,35.21,31.61,0.0,0.0
Granito de Biotita Siliceo,100,17.407400000000003,11.785,20.16678936201093,134.1,62.271499999999996,6.0,2.0
Esquisto de Biotita,69,16.858840579710147,15.02,8.98157812941577,46.07,34.584,0.0,0.0
Hornfels,22,16.331818181818182,15.895,7.13725212987239,36.46,27.011499999999998,0.0,0.0
Granito de Biotita Porfidico,15,16.266666666666666,15.71,8.24965078625987,33.03,29.599999999999994,0.0,0.0
Dique Diorita,5,15.882,15.35,9.004974736222197,27.26,26.288,0.0,0.0
Aplita,16,15.758125,8.005,18.176110408537173,62.97,55.4175,12.5,0.0
Microgranito,7,15.291428571428574,8.88,15.23877119780488,44.82,37.95299999999998,0.0,0.0
